isotope,ST1-charged (g),ST1-discharged (g),ST2-charged (g),ST2-discharged (g)
PD118,0.000E+00,3.399E-07,0.000E+00,0.000E+00
PD119,0.000E+00,1.409E-07,0.000E+00,0.000E+00
PD120,0.000E+00,1.300E-07,0.000E+00,0.000E+00
PD121,0.000E+00,7.449E-09,0.000E+00,0.000E+00
PD122,0.000E+00,4.689E-09,0.000E+00,0.000E+00
PD123,0.000E+00,2.599E-10,0.000E+00,0.000E+00
PD124,0.000E+00,8.927E-11,0.000E+00,0.000E+00
PD126,0.000E+00,7.110E-13,0.000E+00,0.000E+00
AG106,0.000E+00,7.090E-12,0.000E+00,0.000E+00
AG107,0.000E+00,5.657E-05,0.000E+00,0.000E+00
AG108,0.000E+00,2.999E-09,0.000E+00,0.000E+00
AG108M,0.000E+00,1.930E-06,0.000E+00,0.000E+00
AG109,0.000E+00,1.150E+02,8.146E-09,2.651E+02
AG109M,0.000E+00,1.560E-04,0.000E+00,0.000E+00
AG110,0.000E+00,5.517E-05,0.000E+00,0.000E+00
AG110M,0.000E+00,1.490E+00,1.671E-11,1.961E+00
AG111,0.000E+00,5.128E-01,0.000E+00,6.884E-01
AG111M,0.000E+00,5.118E-05,0.000E+00,6.333E-05
AG112,0.000E+00,4.539E-03,0.000E+00,5.013E-03
AG113,0.000E+00,5.387E-03,0.000E+00,3.851E-03
AG113M,0.000E+00,2.099E-06,0.000E+00,1.521E-05
AG114,0.000E+00,9.696E-07,0.000E+00,0.000E+00
AG115,0.000E+00,1.789E-04,0.000E+00,1.420E-04
AG115M,0.000E+00,9.796E-07,0.000E+00,0.000E+00
AG116,0.000E+00,1.350E-05,0.000E+00,1.170E-05
AG116M,0.000E+00,8.697E-07,0.000E+00,0.000E+00
AG117,0.000E+00,6.016E-06,0.000E+00,2.340E-06
AG117M,0.000E+00,4.359E-07,0.000E+00,0.000E+00
AG118,0.000E+00,4.049E-07,0.000E+00,0.000E+00
AG118M,0.000E+00,2.129E-07,0.000E+00,0.000E+00
