isotope,ST1-charged (g),ST1-discharged (g),ST2-charged (g),ST2-discharged (g)
RU118,0.000E+00,3.762E-10,0.000E+00,0.000E+00
RU120,0.000E+00,4.963E-14,0.000E+00,0.000E+00
RH102,0.000E+00,0.000E+00,0.000E+00,5.741E-06
RH103,0.000E+00,1.351E+03,0.000E+00,1.150E+03
RH103M,0.000E+00,3.322E-02,0.000E+00,5.862E-16
RH104,0.000E+00,1.831E-09,0.000E+00,0.000E+00
RH104M,0.000E+00,1.031E-09,0.000E+00,0.000E+00
RH105,0.000E+00,9.306E-01,0.000E+00,0.000E+00
RH105M,0.000E+00,6.955E-05,0.000E+00,0.000E+00
RH106,0.000E+00,1.861E-04,0.000E+00,1.110E-05
RH106M,0.000E+00,1.581E-05,0.000E+00,0.000E+00
RH107,0.000E+00,5.304E-03,0.000E+00,0.000E+00
RH108,0.000E+00,4.883E-05,0.000E+00,0.000E+00
RH108M,0.000E+00,1.381E-05,0.000E+00,0.000E+00
RH109,0.000E+00,1.931E-04,0.000E+00,0.000E+00
RH109M,0.000E+00,5.423E-05,0.000E+00,0.000E+00
RH110,0.000E+00,2.352E-05,0.000E+00,0.000E+00
RH110M,0.000E+00,2.041E-07,0.000E+00,0.000E+00
RH111,0.000E+00,2.972E-05,0.000E+00,0.000E+00
RH112,0.000E+00,1.141E-06,0.000E+00,0.000E+00
RH113,0.000E+00,1.141E-07,0.000E+00,0.000E+00
RH114,0.000E+00,1.071E-07,0.000E+00,0.000E+00
RH115,0.000E+00,1.741E-07,0.000E+00,0.000E+00
RH116,0.000E+00,8.627E-09,0.000E+00,0.000E+00
RH117,0.000E+00,4.233E-09,0.000E+00,0.000E+00
RH118,0.000E+00,1.421E-09,0.000E+00,0.000E+00
RH119,0.000E+00,9.580E-10,0.000E+00,0.000E+00
RH120,0.000E+00,1.110E-11,0.000E+00,0.000E+00
RH121,0.000E+00,2.802E-12,0.000E+00,0.000E+00
RH122,0.000E+00,2.031E-13,0.000E+00,0.000E+00
RH123,0.000E+00,3.392E-14,0.000E+00,0.000E+00
PD102,0.000E+00,0.000E+00,0.000E+00,1.560E-03
PD104,0.000E+00,5.553E-03,0.000E+00,3.251E+02
PD105,0.000E+00,9.497E+02,0.000E+00,1.120E+03
PD106,0.000E+00,7.455E+02,0.000E+00,1.090E+03
PD107,0.000E+00,5.464E+02,8.812E-07,7.301E+02
PD107M,0.000E+00,3.412E-10,0.000E+00,0.000E+00
PD108,0.000E+00,4.483E+02,0.000E+00,5.181E+02
PD109,0.000E+00,1.110E-01,0.000E+00,0.000E+00
PD109M,0.000E+00,3.032E-04,0.000E+00,0.000E+00
PD110,0.000E+00,1.231E+02,0.000E+00,1.760E+02
PD111,0.000E+00,6.744E-04,0.000E+00,0.000E+00
PD111M,0.000E+00,2.642E-04,0.000E+00,0.000E+00
PD112,0.000E+00,1.931E-02,0.000E+00,0.000E+00
PD113,0.000E+00,1.621E-05,0.000E+00,0.000E+00
PD114,0.000E+00,1.891E-05,0.000E+00,0.000E+00
PD115,0.000E+00,3.922E-06,0.000E+00,0.000E+00
PD116,0.000E+00,9.737E-07,0.000E+00,0.000E+00
PD117,0.000E+00,2.471E-07,0.000E+00,0.000E+00
PD118,0.000E+00,9.182E-08,0.000E+00,0.000E+00
PD119,0.000E+00,8.337E-08,0.000E+00,0.000E+00
