isotope,ST1-DF-charged (g),ST1-DF-discharged (g),ST1-BB-charged (g),ST1-BB-discharged (g)
PD114,0.000E+00,1.079E-04,0.000E+00,2.066E-05
PD115,0.000E+00,2.738E-05,0.000E+00,5.459E-06
PD116,0.000E+00,7.135E-06,0.000E+00,1.476E-06
PD117,0.000E+00,2.130E-06,0.000E+00,4.658E-07
PD118,0.000E+00,1.130E-06,0.000E+00,2.529E-07
PD119,0.000E+00,5.296E-07,0.000E+00,1.083E-07
PD120,0.000E+00,4.210E-07,0.000E+00,9.823E-08
PD121,0.000E+00,2.411E-08,0.000E+00,5.727E-09
PD122,0.000E+00,1.514E-08,0.000E+00,3.640E-09
PD123,0.000E+00,8.444E-10,0.000E+00,2.054E-10
PD124,0.000E+00,2.874E-10,0.000E+00,6.838E-11
PD126,0.000E+00,2.200E-12,0.000E+00,5.061E-13
AG106,0.000E+00,1.838E-10,0.000E+00,2.341E-11
AG107,0.000E+00,1.758E-04,0.000E+00,7.039E-05
AG108,0.000E+00,1.201E-07,0.000E+00,9.334E-09
AG108M,0.000E+00,1.008E-05,0.000E+00,2.257E-06
AG109,0.000E+00,5.657E+02,0.000E+00,1.378E+02
AG109M,0.000E+00,3.514E-04,0.000E+00,5.423E-05
AG110,0.000E+00,2.956E-05,0.000E+00,2.295E-06
AG110M,0.000E+00,4.205E+00,0.000E+00,3.852E-01
AG111,0.000E+00,1.500E+00,0.000E+00,2.459E-01
AG111M,0.000E+00,1.504E-04,0.000E+00,2.464E-05
AG112,0.000E+00,1.530E-02,0.000E+00,2.704E-03
AG113,0.000E+00,1.736E-02,0.000E+00,3.225E-03
AG113M,0.000E+00,6.764E-06,0.000E+00,1.254E-06
AG114,0.000E+00,3.446E-06,0.000E+00,6.576E-07
AG115,0.000E+00,6.551E-04,0.000E+00,1.298E-04
AG115M,0.000E+00,3.648E-06,0.000E+00,7.152E-07
AG116,0.000E+00,4.720E-05,0.000E+00,9.535E-06
AG116M,0.000E+00,3.052E-06,0.000E+00,6.170E-07
AG117,0.000E+00,2.106E-05,0.000E+00,4.353E-06
AG117M,0.000E+00,1.525E-06,0.000E+00,3.151E-07
AG118,0.000E+00,1.406E-06,0.000E+00,2.879E-07
AG118M,0.000E+00,7.546E-07,0.000E+00,1.545E-07
AG119,0.000E+00,3.366E-06,0.000E+00,6.766E-07
AG120,0.000E+00,4.121E-07,0.000E+00,8.902E-08
AG121,0.000E+00,7.314E-07,0.000E+00,1.632E-07
AG122,0.000E+00,1.491E-08,0.000E+00,3.420E-09
AG123,0.000E+00,6.749E-08,0.000E+00,1.574E-08
AG124,0.000E+00,9.520E-09,0.000E+00,2.189E-09
AG125,0.000E+00,4.262E-09,0.000E+00,9.596E-10
AG126,0.000E+00,5.098E-10,0.000E+00,1.138E-10
AG128,0.000E+00,1.400E-11,0.000E+00,3.026E-12
CD108,0.000E+00,2.925E-02,0.000E+00,4.257E-03
